,z
1774,2.3419598846082472
1780,0.368693057644107
1786,0.32627809809068936
1792,0.07829219130202425
1798,1.9866446906356794
1804,2.1248995003654487
1810,0.8635212059539253
1816,1.5589189032538542
1822,0.21174605587335568
1828,2.6275038548217213
1834,0.4281816171150074
1840,0.4753666031467882
1846,1.1877864673687413
1852,1.4773698073549268
1858,0.40357256882863907
1864,0.4791628112366482
1870,1.1227371362640808
1876,0.0309178917932572
1882,3.845165216375993
1888,0.028800536506728334
1894,0.12100094834629775
1900,0.108489028583586
1906,0.308580335765998
1912,0.6184912336094414
1918,0.29282541659400296
1924,0.8231276418897592
1930,0.2463255154656457
1936,0.8064563018475507
1942,0.9072691250002132
1948,0.2083918450851381
1954,2.6039698973715266
1960,1.1220453020732364
1966,0.5610175482464832
1972,2.5907144300250766
1978,1.1031487281930823
1984,0.4916341661531384
1990,0.5769117762303212
1996,1.041859492389208
2002,3.05989163349566
2008,0.5030382639940001
2014,2.2306117223019934
2020,0.18213985783297026
2026,1.0677277961345635
2032,0.19637935872070406
2038,2.2296177809486064
2044,3.3986839251879504
2050,0.7084161093041872
2056,1.5650734456844275
2062,2.04337686647736
2068,0.34966944066918
2074,0.9295203277050078
2080,1.368183650778112
2086,0.9846563469912243
2092,0.29124940065055316
2098,0.7926602945528843
2104,0.145218226361385
2110,0.5623344319919535
2116,3.3967320876960567
2122,0.9859040519713147
2128,1.6403285259595664
2134,0.6107434767838843
2140,0.6888783799367532
2146,0.0426511693001024
2152,1.0199901797395945
2158,0.9868712517965486
2164,1.1598985026827189
2170,0.2751847544647769
2176,0.13161382974298863
2182,2.49349898254685
2188,0.14599112067829081
2194,0.8299096716639427
2200,0.3917098346768574
2206,0.6464877540647331
2212,2.015995291232211
2218,0.48343381836488897
